2020/03/06 00:02:04.571 [D]  Partition:0, Offset:144511, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:04 CST 2020
2020/03/06 00:02:05.566 [D]  Partition:0, Offset:144512, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:05 CST 2020
2020/03/06 00:02:06.602 [D]  Partition:0, Offset:144513, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:06 CST 2020
2020/03/06 00:02:07.363 [D]  Partition:0, Offset:144514, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:07 CST 2020
2020/03/06 00:02:08.368 [D]  Partition:0, Offset:144515, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:08 CST 2020
2020/03/06 00:02:09.368 [D]  Partition:0, Offset:144516, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:09 CST 2020
2020/03/06 00:02:10.382 [D]  Partition:0, Offset:144517, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:10 CST 2020
2020/03/06 00:02:11.403 [D]  Partition:0, Offset:144518, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:11 CST 2020
2020/03/06 00:02:12.414 [D]  Partition:0, Offset:144519, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:12 CST 2020
2020/03/06 00:02:13.422 [D]  Partition:0, Offset:144520, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:13 CST 2020
2020/03/06 00:02:14.455 [D]  Partition:0, Offset:144521, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:14 CST 2020
2020/03/06 00:02:15.455 [D]  Partition:0, Offset:144522, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:15 CST 2020
2020/03/06 00:02:16.489 [D]  Partition:0, Offset:144523, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:16 CST 2020
2020/03/06 00:02:17.481 [D]  Partition:0, Offset:144524, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:17 CST 2020
2020/03/06 00:02:18.499 [D]  Partition:0, Offset:144525, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:18 CST 2020
2020/03/06 00:02:19.515 [D]  Partition:0, Offset:144526, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:19 CST 2020
2020/03/06 00:02:20.529 [D]  Partition:0, Offset:144527, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:20 CST 2020
2020/03/06 00:02:21.553 [D]  Partition:0, Offset:144528, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:21 CST 2020
2020/03/06 00:02:22.556 [D]  Partition:0, Offset:144529, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:22 CST 2020
2020/03/06 00:02:23.573 [D]  Partition:0, Offset:144530, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:23 CST 2020
2020/03/06 00:02:24.585 [D]  Partition:0, Offset:144531, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:24 CST 2020
2020/03/06 00:02:25.605 [D]  Partition:0, Offset:144532, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:25 CST 2020
2020/03/06 00:02:26.673 [D]  Partition:0, Offset:144533, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:26 CST 2020
2020/03/06 00:02:27.629 [D]  Partition:0, Offset:144534, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:27 CST 2020
2020/03/06 00:02:28.697 [D]  Partition:0, Offset:144535, Key:, Value:1adasdsadadadsa Fri Mar 6 00:02:28 CST 2020
